Index,Current URL,Title,Doc ID
72,https://ssc.wisc.edu/sscc/pubs/7-20.htm,Limiting Access to a Web Page,102653
73,https://ssc.wisc.edu/sscc/pubs/7-23.htm,Forwarding Your Email to Another Address,102654
74,https://ssc.wisc.edu/sscc/pubs/7-27.htm,Running OpenOffice on Linux,102655
75,https://ssc.wisc.edu/sscc/pubs/7-28.htm,Printing from Linux,102656
76,https://ssc.wisc.edu/sscc/pubs/7-4.htm,Running SAS on Linux,
77,https://ssc.wisc.edu/sscc/pubs/7-8.htm,Using Compressed Data in Linux,
78,https://ssc.wisc.edu/sscc/pubs/DWE/book/0-1-organization-of-the-book-and-chapters.html,0.1 Organization of the book and chapters | Data Wrangling Essentials,
79,https://ssc.wisc.edu/sscc/pubs/DWE/book/0-2-who-will-benefit-from-this-book.html,0.2 Who will benefit from this book | Data Wrangling Essentials,
80,https://ssc.wisc.edu/sscc/pubs/DWE/book/0-3-materials-for-this-book.html,0.3 Materials for this book | Data Wrangling Essentials,
81,https://ssc.wisc.edu/sscc/pubs/DWE/book/1-1-programming-basics.html,1.1 Programming basics | Data Wrangling Essentials,
82,https://ssc.wisc.edu/sscc/pubs/DWE/book/1-2-functions-packges-and-getting-help.html,"1.2 Functions, Packges, and Getting help | Data Wrangling Essentials",
83,https://ssc.wisc.edu/sscc/pubs/DWE/book/1-programming.html,1 Programming | Data Wrangling Essentials,
84,https://ssc.wisc.edu/sscc/pubs/DWE/book/2-1-data-frames-1.html,2.1 Data frames | Data Wrangling Essentials,
85,https://ssc.wisc.edu/sscc/pubs/DWE/book/2-2-prgm-read-csv.html,2.2 Reading csv files and other delimited data | Data Wrangling Essentials,
86,https://ssc.wisc.edu/sscc/pubs/DWE/book/2-3-prgm-read-csv-advnc.html,2.3 More challenging csv and delimited files | Data Wrangling Essentials,
87,https://ssc.wisc.edu/sscc/pubs/DWE/book/2-data-frames.html,2 Data frames | Data Wrangling Essentials,
88,https://ssc.wisc.edu/sscc/pubs/DWE/book/3-1-preparatory-exercises.html,3.1 Preparatory exercises | Data Wrangling Essentials,
