,url
90,https://ssc.wisc.edu/sscc/pubs/readhtml.htm
91,https://ssc.wisc.edu/sscc/pubs/sas.pdf
92,https://ssc.wisc.edu/sscc/pubs/sas_excel.htm
93,https://ssc.wisc.edu/sscc/pubs/sas_launch.htm
94,https://ssc.wisc.edu/sscc/pubs/sas_output.htm
95,https://ssc.wisc.edu/sscc/pubs/sfr-intro.htm
96,https://ssc.wisc.edu/sscc/pubs/sfs/
97,https://ssc.wisc.edu/sscc/pubs/sfs/
98,https://ssc.wisc.edu/sscc/pubs/sfs/home.htm#desc
99,https://ssc.wisc.edu/sscc/pubs/sfs/home.htm#graphs
100,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-ci.htm
101,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-comments.htm
102,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-cor.htm
103,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-data.htm
104,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-do_files.htm
105,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-files.htm
106,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-graphs.htm
107,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-import.htm
108,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-qualtrics.htm
109,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-scatter.htm
110,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-syntax.htm
111,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-ttest.htm
112,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-ui.htm
113,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-vars.htm
114,https://ssc.wisc.edu/sscc/pubs/sfs/sfs-where.htm
115,https://ssc.wisc.edu/sscc/pubs/spss/Linux/7-18.html
116,https://ssc.wisc.edu/sscc/pubs/spss/Windows/Extension_bundles.html
117,https://ssc.wisc.edu/sscc/pubs/spss/Windows/SPSS_Syntax.html
118,https://ssc.wisc.edu/sscc/pubs/spss/classintro/spss_students1.html
119,https://ssc.wisc.edu/sscc/pubs/spss/classintro/spss_students1.html
120,https://ssc.wisc.edu/sscc/pubs/spss/classintro/spss_students2.html
121,https://ssc.wisc.edu/sscc/pubs/stat.htm#dstr
122,https://ssc.wisc.edu/sscc/pubs/stata_bar_graphs.htm
123,https://ssc.wisc.edu/sscc/pubs/stata_dates.htm
124,https://ssc.wisc.edu/sscc/pubs/stata_margins.htm
125,https://ssc.wisc.edu/sscc/pubs/stata_memory.htm
126,https://ssc.wisc.edu/sscc/pubs/stata_mi_condor.htm
127,https://ssc.wisc.edu/sscc/pubs/stata_mi_decide.htm
128,https://ssc.wisc.edu/sscc/pubs/stata_mi_estimate.htm
129,https://ssc.wisc.edu/sscc/pubs/stata_mi_ex.htm
130,https://ssc.wisc.edu/sscc/pubs/stata_mi_impute.htm
131,https://ssc.wisc.edu/sscc/pubs/stata_mi_intro.htm
132,https://ssc.wisc.edu/sscc/pubs/stata_mi_intro.htm
133,https://ssc.wisc.edu/sscc/pubs/stata_mi_manage.htm
134,https://ssc.wisc.edu/sscc/pubs/stata_mi_models.htm
135,https://ssc.wisc.edu/sscc/pubs/stata_mi_readings.htm
136,https://ssc.wisc.edu/sscc/pubs/stata_mp.htm
137,https://ssc.wisc.edu/sscc/pubs/stata_panel.htm
138,https://ssc.wisc.edu/sscc/pubs/stata_prog1.htm
139,https://ssc.wisc.edu/sscc/pubs/stata_prog1.htm
140,https://ssc.wisc.edu/sscc/pubs/stata_prog2.htm
141,https://ssc.wisc.edu/sscc/pubs/stata_psmatch.htm
142,https://ssc.wisc.edu/sscc/pubs/stata_tables.htm
143,https://ssc.wisc.edu/sscc/pubs/statahelp.htm
144,https://www.ssc.wisc.edu/sscc/pubs/4-8.htm
